course_slug,policy_type,source_type,source_url,source_title,captured_text,is_current,note
gn-course-2f6576f9,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 아라미르골프앤리조트 / 창원시 진해구 수제로 36 / 대중제,true,full_safe_batch_4
gn-course-8036bac7,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 진주컨트리클럽 / 진주시 진성면 진성로 464번길 82 / 대중제,true,full_safe_batch_4
gn-course-794006c6,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 통영동원로얄컨트리클럽 / 통영시 산양읍 담안길 240 / 대중제,true,full_safe_batch_4
gn-course-243b2e46,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 서경타니CC / 사천시 곤양면 흥신로 210 / 대중제,true,full_safe_batch_4
gn-course-2f10c02b,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 삼삼컨트리클럽 / 사천시 축동면 화당산로 224 / 대중제,true,full_safe_batch_4
gn-course-3edb5585,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 골프존카운티 사천 / 사천시 서포면 구송로 151 / 대중제,true,full_safe_batch_4
gn-course-e7f0bd83,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 가야컨트리클럽 / 김해시 인제로 495 / 회원제/대중제,true,full_safe_batch_4
gn-course-5e32a251,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 김해정산컨트리클럽 / 김해시 주촌면 서부로 1637번길 299-194 / 회원제,true,full_safe_batch_4
gn-course-0285d1bb,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 롯데스카이힐김해컨트리클럽 / 김해시 진례면 고모로 134번길 54-49 / 회원제,true,full_safe_batch_4
gn-course-a487f341,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 김해상록컨트리클럽 / 김해시 한림면 김해대로 974번길 198 / 대중제,true,full_safe_batch_4
gn-course-dc794129,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 리더스컨트리클럽 / 밀양시 활성로 455 / 대중제,true,full_safe_batch_4
gn-course-4bc9510b,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 밀양컨트리클럽 / 밀양시 부북면 전사포리 832 / 대중제,true,full_safe_batch_4
gn-course-abe03406,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 거제드비치골프클럽 / 거제시 장목면 거제북로 1573 / 회원제,true,full_safe_batch_4
gn-course-4e91060a,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 거제뷰컨트리클럽 / 거제시 거제면 옥산리 285-3 / 대중제,true,full_safe_batch_4
gn-course-dbd27493,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 통도파인이스트컨트리클럽 / 양산시 하북면 신평남부길 29-12 / 회원제,true,full_safe_batch_4
gn-course-ed9aaa94,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 동부산컨트리클럽 / 양산시 매곡외산로 282 / 회원제,true,full_safe_batch_4
gn-course-7fe2afda,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 에이원컨트리클럽 / 양산시 덕명로 190 / 회원제,true,full_safe_batch_4
gn-course-8e0c8451,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 에덴밸리컨트리클럽 / 양산시 원동면 어실로 910 / 회원제,true,full_safe_batch_4
gn-course-dd269d3b,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 양산컨트리클럽 / 양산시 상북면 충렬로 687 / 대중제,true,full_safe_batch_4
gn-course-dfcc7b14,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 다이아몬드컨트리클럽 / 양산시 상북면 공원로 305-391 / 대중제,true,full_safe_batch_4
gn-course-69382c40,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 의령친환경골프장 / 의령군 의령읍 남강로 417 / 대중제,true,full_safe_batch_4
gn-course-d5bbb580,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 의령 리온컨트리클럽 / 의령군 칠곡면 내조리 산113 / 대중제,true,full_safe_batch_4
gn-course-dc790ebf,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 골프존카운티 경남 / 함안군 칠원면 운무로 470 / 대중제,true,full_safe_batch_4
gn-course-ab44cef1,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 부곡컨트리클럽 / 창녕군 부곡면 온천로 445 / 회원제,true,full_safe_batch_4
gn-course-34ecdb6c,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 힐마루컨트리클럽 / 창녕군 장마면 영산계성로 469-195 / 회원제/대중제,true,full_safe_batch_4
gn-course-09186409,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 고성노벨컨트리클럽 / 고성군 회화면 회진로 567 / 회원제,true,full_safe_batch_4
gn-course-b09b2f57,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 고성컨트리클럽 / 고성군 고성읍 월평3길 250 / 대중제,true,full_safe_batch_4
gn-course-b3a23c87,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 아난티남해CC / 남해군 남면 남서대로 1179번길 40-109 / 대중제,true,full_safe_batch_4
gn-course-7a5d409d,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 아난티남해GC / 남해군 남면 남서대로 1179번길 40-109 / 대중제,true,full_safe_batch_4
gn-course-b53adc29,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 사우스케이프오너스클럽 / 남해군 창선면 흥선로 1505번길 95 / 대중제,true,full_safe_batch_4
gn-course-5d80a4e9,days_before,manual,https://api.odcloud.kr/api/15118920/v1/uddi:0e5b12d2-1cc8-4caf-ba96-c2c7d1ef8d83,문화체육관광부 전국 골프장 현황 (batch import),batch import / 경남스카이뷰CC / 함양군 서상면 소로길 207 / 대중제,true,full_safe_batch_4
